word,type,pronunciation,definition_vn,unit
Arts and crafts club,n,/ɑːts ənd krɑːfts klʌb/,câu lạc bộ thủ công mỹ nghệ,Unit 1
Be crazy about,adj phr.,/biː ˈkreɪzi əˈbaʊt/,rất thích hoặc cuồng cái gì,Unit 1
Be fond of,adj phr.,/biː fɒnd əv/,thích cái gì,Unit 1
Be interested in,adj phr.,/biː ˈɪntrəstɪd ɪn/,quan tâm hoặc hứng thú với,Unit 1
Be keen on,adj phr.,/biː kiːn ɒn/,yêu thích,Unit 1
Connect,v,/kəˈnekt/,kết nối,Unit 1
DIY (Do-it-yourself),n,/ˌdiː aɪ ˈwaɪ/,việc tự làm đồ dùng,Unit 1
Messaging friends,v phr.,/ˈmesɪdʒɪŋ frendz/,nhắn tin cho bạn bè,Unit 1
Origami,n,/ˌɒrɪˈɡɑːmi/,nghệ thuật gấp giấy,Unit 1
Surfing the net,v phr.,/ˈsɜːfɪŋ ðə net/,lướt mạng,Unit 1
Canals,n,/kəˈnælz/,các kênh đào,Unit 2
Catching fish,v phr.,/ˈkætʃɪŋ fɪʃ/,đánh bắt cá,Unit 2
Cattle,n,/ˈkætl/,gia súc,Unit 2
Combine harvester,n,/kəmˈbaɪn ˈhɑːvɪstə(r)/,máy gặt đập liên hợp,Unit 2
Cultivate,v,/ˈkʌltɪveɪt/,trồng trọt hoặc canh tác,Unit 2
Drying rice,v phr.,/ˈdraɪɪŋ raɪs/,phơi thóc/lúa,Unit 2
Feeding pigs,v phr.,/ˈfiːdɪŋ pɪɡz/,cho lợn ăn,Unit 2
Harvest time,n,/ˈhɑːvɪst taɪm/,mùa thu hoạch,Unit 2
Herd,v,/hɜːd/,chăn dắt (gia súc),Unit 2
Hospitable,adj,/hɒˈspɪtəbl/,hiếu khách,Unit 2
Load,v,/ləʊd/,bốc hoặc xếp hàng (lên xe),Unit 2
Milking cows,v phr.,/ˈmɪlkɪŋ kaʊz/,vắt sữa bò,Unit 2
Orchard,n,/ˈɔːtʃəd/,vườn cây ăn quả,Unit 2
Paddy field,n,/ˈpædi fiːld/,cánh đồng lúa,Unit 2
Pick,v,/pɪk/,"hái, nhặt",Unit 2
Picturesque,adj,/ˌpɪktʃəˈresk/,đẹp như tranh vẽ,Unit 2
Ploughing fields,v phr.,/ˈplaʊɪŋ fiːldz/,cày ruộng,Unit 2
Poultry,n,/ˈpəʊltri/,gia cầm,Unit 2
Scenery,n,/ˈsiːnəri/,phong cảnh,Unit 2
Stretching,adj,/ˈstretʃɪŋ/,trải dài,Unit 2
Surrounded,adj,/səˈraʊndɪd/,bị bao quanh,Unit 2
Unload,v,/ˌʌnˈləʊd/,dỡ hàng (xuống xe),Unit 2
Vast,adj,/vɑːst/,"rộng lớn, bao la",Unit 2
Well-trained,adj,/ˌwel ˈtreɪnd/,được đào tạo bài bản,Unit 2
Browse,v,/braʊz/,lướt (web hoặc mạng xã hội),Unit 3
Bully,n,/ˈbʊli/,kẻ bắt nạt,Unit 3
Check,v,/tʃek/,kiểm tra (thông báo),Unit 3
Chess club,n,/tʃes klʌb/,câu lạc bộ cờ,Unit 3
Concentrate,v,/ˈkɒnsntreɪt/,tập trung,Unit 3
Forum,n,/ˈfɔːrəm/,diễn đàn,Unit 3
Log on,phr. v,/lɒɡ ɒn/,đăng nhập,Unit 3
Pressure,n,/ˈpreʃə(r)/,áp lực,Unit 3
