"word","type","pronunciation","definition_vn","unit"
"Neural Network","noun","/ˈnjʊə.rəl ˈnet.wɜːk/","Mạng thần kinh nhân tạo","AI & Tech"
"Deep Learning","noun","/ˌdiːp ˈlɜː.nɪŋ/","Học sâu","AI & Tech"
"Machine Learning","noun","/məˈʃiːn ˈlɜː.nɪŋ/","Học máy","AI & Tech"
"Large Language Model","noun","/lɑːdʒ ˈlæŋ.ɡwɪdʒ ˈmɒd.əl/","Mô hình ngôn ngữ lớn","AI & Tech"
"Prompt Engineering","noun","/prɒmpt ˌen.dʒɪˈnɪə.rɪŋ/","Kỹ thuật câu lệnh","AI & Tech"
"Algorithm","noun","/ˈæl.ɡə.rɪ.ðəm/","Thuật toán","AI & Tech"
"Hello","exclamation","/həˈləʊ/","Xin chào","Daily"
"Time","noun","/taɪm/","Thời gian","Common"
"Year","noun","/jɪər/","Năm","Common"
"People","noun","/ˈpiː.pəl/","Người","Common"
"Way","noun","/weɪ/","Cách, đường đi","Common"
"Day","noun","/deɪ/","Ngày","Common"
"Man","noun","/mæn/","Đàn ông","Common"
"Thing","noun","/θɪŋ/","Vật, thứ","Common"
"Woman","noun","/ˈwʊm.ən/","Phụ nữ","Common"
"Life","noun","/laɪf/","Cuộc sống","Common"
"Child","noun","/tʃaɪld/","Trẻ con","Common"
"World","noun","/wɜːld/","Thế giới","Common"
"School","noun","/skuːl/","Trường học","Common"
"State","noun","/steɪt/","Trạng thái, bang","Common"
"Family","noun","/ˈfæm.əl.i/","Gia đình","Common"
"Student","noun","/ˈstjuː.dənt/","Sinh viên, học sinh","Common"
"Group","noun","/ɡruːp/","Nhóm","Common"
"Country","noun","/ˈkʌn.tri/","Quốc gia","Common"
"Problem","noun","/ˈpɒb.ləm/","Vấn đề","Common"
"Hand","noun","/hænd/","Bàn tay","Common"
"Part","noun","/pɑːt/","Phần, bộ phận","Common"
"Place","noun","/pleɪs/","Địa điểm","Common"
"Case","noun","/keɪs/","Trường hợp","Common"
"Week","noun","/wiːk/","Tuần","Common"
"Company","noun","/ˈkʌm.pə.ni/","Công ty","Common"
"System","noun","/ˈsɪs.təm/","Hệ thống","Common"
"Program","noun","/ˈprəʊ.ɡræm/","Chương trình","Common"
"Question","noun","/ˈkwes.tʃən/","Câu hỏi","Common"
"Work","noun","/wɜːk/","Công việc","Common"
"Government","noun","/ˈɡʌv.ən.mənt/","Chính phủ","Common"
"Number","noun","/ˈnʌm.bər/","Số lượng, con số","Common"
"Night","noun","/naɪt/","Đêm","Common"
"Mr","noun","/ˈmɪs.tər/","Ông (xưng hô)","Common"
"Point","noun","/pɔɪnt/","Điểm, quan điểm","Common"
"Home","noun","/həʊm/","Nhà","Common"
"Water","noun","/ˈwɔː.tər/","Nước","Common"
"Room","noun","/ruːm/","Phòng","Common"
"Mother","noun","/ˈmʌð.ər/","Mẹ","Common"
"Area","noun","/ˈeə.ri.ə/","Khu vực","Common"
"Money","noun","/ˈmʌn.i/","Tiền","Common"
"Story","noun","/ˈstɔː.ri/","Câu chuyện","Common"
"Fact","noun","/fækt/","Sự thật","Common"
"Month","noun","/mʌnθ/","Tháng","Common"
"Lot","noun","/lɒt/","Nhiều","Common"
"Right","noun","/raɪt/","Quyền lợi, bên phải","Common"
"Study","noun","/ˈstʌd.i/","Nghiên cứu, học tập","Common"
"Book","noun","/bʊk/","Sách","Common"
"Eye","noun","/aɪ/","Mắt","Common"
"Job","noun","/dʒɒb/","Nghề nghiệp","Common"
"Word","noun","/wɜːd/","Từ ngữ","Common"
"Business","noun","/ˈbɪz.nɪs/","Kinh doanh","Common"
"Issue","noun","/ˈɪʃ.uː/","Vấn đề, phát hành","Common"
"Side","noun","/saɪd/","Cạnh, khía cạnh","Common"
"Kind","noun","/kaɪnd/","Loại, tử tế","Common"
"Head","noun","/hed/","Đầu","Common"
"House","noun","/haʊs/","Ngôi nhà","Common"
"Service","noun","/ˈsɜː.vɪs/","Dịch vụ","Common"
"Friend","noun","/frend/","Bạn bè","Common"
"Father","noun","/ˈfɑː.ðər/","Cha","Common"
"Power","noun","/ˈpaʊ.ər/","Sức mạnh, năng lượng","Common"
"Hour","noun","/ˈaʊ.ər/","Giờ","Common"
"Game","noun","/ɡeɪm/","Trò chơi","Common"
"Line","noun,/laɪn/,Dòng, hàng,Common"
"End","noun,/end/,Kết thúc,Common"
"Member","noun,/ˈmem.bər/,Thành viên,Common"
"Law","noun,/lɔː/,Luật pháp,Common"
"Car","noun,/kɑːr/,Xe hơi,Common"
"City","noun,/ˈsɪt.i/,Thành phố,Common"
"Community","noun,/kəˈmjuː.nə.ti/,Cộng đồng,Common"
"Name","noun,/neɪm/,Tên,Common"
"President","noun,/ˈprez.ɪ.dənt/,Chủ tịch, tổng thống,Common"
"Team","noun,/tiːm/,Đội,Common"
"Minute","noun,/ˈmɪn.ɪt/,Phút,Common"
"Idea","noun,/aɪˈdɪə/,Ý tưởng,Common"
"Kid","noun,/kɪd/,Đứa trẻ,Common"
"Body","noun,/ˈbɒd.i/,Thân thể,Common"
"Information","noun,/ˌɪn.fəˈmeɪ.ʃən/,Thông tin,Common"
"Back","noun,/bæk/,Cái lưng, phía sau,Common"
"Parent","noun,/ˈpeə.rənt/,Phụ huynh,Common"
"Face","noun,/feɪs/,Khuôn mặt,Common"
"Others","noun,/ˈʌð.ərz/,Những cái khác, người khác,Common"
"Level","noun,/ˈlev.əl/,Mức độ, cấp độ,Common"
"Office","noun,/ˈɒf.ɪs/,Văn phòng,Common"
"Door","noun,/dɔːr/,Cửa,Common"
"Health","noun,/helθ/,Sức khỏe,Common"
"Person","noun,/ˈpɜː.sən/,Một người,Common"
"Art","noun,/ɑːt/,Nghệ thuật,Common"
"War","noun,/wɔːr/,Chiến tranh,Common"
"History","noun,/ˈhɪs.tər.i/,Lịch sử,Common"
"Party","noun,/ˈpɑː.ti/,Bữa tiệc, đảng phái,Common"
"Result","noun,/rɪˈzʌlt/,Kết quả,Common"
"Change","noun,/tʃeɪndʒ/,Sự thay đổi,Common"
"Morning","noun,/ˈmɔː.nɪŋ/,Buổi sáng,Common"
"Ability","noun,/əˈbɪl.ə.ti/,Khả năng,Common"
"Reason","noun","/ˈriː.zən/","Lý do","Common"
"Research","noun","/rɪˈsɜːtʃ/","Nghiên cứu","Common"
"Force","noun","/fɔːs/","Lực lượng, sức mạnh","Common"
"Education","noun","/ˌedʒ.ʊˈkeɪ.ʃən/","Giáo dục","Common"
"Knowledge","noun","/ˈnɒl.ɪdʒ/","Kiến thức","Common"
"Experience","noun","/ɪkˈspɪə.ri.əns/","Kinh nghiệm, trải nghiệm","Common"
"Goal","noun","/ɡəʊl/","Mục tiêu","Common"
"Analysis","noun","/əˈnæl.ə.sɪs/","Sự phân tích","AI & Tech"
"Database","noun","/ˈdeɪ.tə.beɪs/","Cơ sở dữ liệu","AI & Tech"
"Dataset","noun","/ˈdeɪ.tə.set/","Bộ dữ liệu","AI & Tech"
"Visualization","noun","/ˌvɪʒ.u.əl.aɪˈzeɪ.ʃən/","Trực quan hóa","AI & Tech"
"Cloud","noun","/klaʊd/","Đám mây","AI & Tech"
"Server","noun","/ˈsɜː.vər/","Máy chủ","AI & Tech"
